Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023034,2023,01,01,32.2,1,N
IDCJAC0010,023034,2023,01,02,26.9,1,N
IDCJAC0010,023034,2023,01,03,24.1,1,N
IDCJAC0010,023034,2023,01,04,22.9,1,N
IDCJAC0010,023034,2023,01,05,24.8,1,N
IDCJAC0010,023034,2023,01,06,28.8,1,N
IDCJAC0010,023034,2023,01,07,35.1,1,N
IDCJAC0010,023034,2023,01,08,36.1,1,N
IDCJAC0010,023034,2023,01,09,31.1,1,N
IDCJAC0010,023034,2023,01,10,29.5,1,N
IDCJAC0010,023034,2023,01,11,27.1,1,N
IDCJAC0010,023034,2023,01,12,33.1,1,N
IDCJAC0010,023034,2023,01,13,34.7,1,N
IDCJAC0010,023034,2023,01,14,40.4,1,N
IDCJAC0010,023034,2023,01,15,25.3,1,N
IDCJAC0010,023034,2023,01,16,34.3,1,N
IDCJAC0010,023034,2023,01,17,38.1,1,N
IDCJAC0010,023034,2023,01,18,21.6,1,N
IDCJAC0010,023034,2023,01,19,22.8,1,N
IDCJAC0010,023034,2023,01,20,25.1,1,N
IDCJAC0010,023034,2023,01,21,27.7,1,N
IDCJAC0010,023034,2023,01,22,30.1,1,N
IDCJAC0010,023034,2023,01,23,29.9,1,N
IDCJAC0010,023034,2023,01,24,29.5,1,N
IDCJAC0010,023034,2023,01,25,24.4,1,N
IDCJAC0010,023034,2023,01,26,27.8,1,N
IDCJAC0010,023034,2023,01,27,37.8,1,N
IDCJAC0010,023034,2023,01,28,27.6,1,N
IDCJAC0010,023034,2023,01,29,23.5,1,N
IDCJAC0010,023034,2023,01,30,25.2,1,N
IDCJAC0010,023034,2023,01,31,23.5,1,N
IDCJAC0010,023034,2023,02,01,22.1,1,N
IDCJAC0010,023034,2023,02,02,20.8,1,N
IDCJAC0010,023034,2023,02,03,19.2,1,N
IDCJAC0010,023034,2023,02,04,21.0,1,N
IDCJAC0010,023034,2023,02,05,22.5,1,N
IDCJAC0010,023034,2023,02,06,28.7,1,N
IDCJAC0010,023034,2023,02,07,32.3,1,N
IDCJAC0010,023034,2023,02,08,31.3,1,N
IDCJAC0010,023034,2023,02,09,35.3,1,N
IDCJAC0010,023034,2023,02,10,24.4,1,N
IDCJAC0010,023034,2023,02,11,23.1,1,N
IDCJAC0010,023034,2023,02,12,23.8,1,N
IDCJAC0010,023034,2023,02,13,25.4,1,N
IDCJAC0010,023034,2023,02,14,26.9,1,N
IDCJAC0010,023034,2023,02,15,35.2,1,N
IDCJAC0010,023034,2023,02,16,39.3,1,N
IDCJAC0010,023034,2023,02,17,24.0,1,N
IDCJAC0010,023034,2023,02,18,25.1,1,N
IDCJAC0010,023034,2023,02,19,25.7,1,N
IDCJAC0010,023034,2023,02,20,34.3,1,N
IDCJAC0010,023034,2023,02,21,36.8,1,N
IDCJAC0010,023034,2023,02,22,35.5,1,N
IDCJAC0010,023034,2023,02,23,39.6,1,N
IDCJAC0010,023034,2023,02,24,37.9,1,N
IDCJAC0010,023034,2023,02,25,22.6,1,N
IDCJAC0010,023034,2023,02,26,23.9,1,N
IDCJAC0010,023034,2023,02,27,26.3,1,N
IDCJAC0010,023034,2023,02,28,23.2,1,N
IDCJAC0010,023034,2023,03,01,23.3,1,N
IDCJAC0010,023034,2023,03,02,23.8,1,N
IDCJAC0010,023034,2023,03,03,25.0,1,N
IDCJAC0010,023034,2023,03,04,25.4,1,N
IDCJAC0010,023034,2023,03,05,25.1,1,N
IDCJAC0010,023034,2023,03,06,23.1,1,N
IDCJAC0010,023034,2023,03,07,21.1,1,N
IDCJAC0010,023034,2023,03,08,19.9,1,N
IDCJAC0010,023034,2023,03,09,21.3,1,N
IDCJAC0010,023034,2023,03,10,25.9,1,N
IDCJAC0010,023034,2023,03,11,24.0,1,N
IDCJAC0010,023034,2023,03,12,22.4,1,N
IDCJAC0010,023034,2023,03,13,24.0,1,N
IDCJAC0010,023034,2023,03,14,24.0,1,N
IDCJAC0010,023034,2023,03,15,29.1,1,N
IDCJAC0010,023034,2023,03,16,25.7,1,N
IDCJAC0010,023034,2023,03,17,33.1,1,N
IDCJAC0010,023034,2023,03,18,23.4,1,N
IDCJAC0010,023034,2023,03,19,25.5,1,N
IDCJAC0010,023034,2023,03,20,23.6,1,N
IDCJAC0010,023034,2023,03,21,26.5,1,N
IDCJAC0010,023034,2023,03,22,30.8,1,N
IDCJAC0010,023034,2023,03,23,23.2,1,N
IDCJAC0010,023034,2023,03,24,23.6,1,N
IDCJAC0010,023034,2023,03,25,24.9,1,N
IDCJAC0010,023034,2023,03,26,20.9,1,N
IDCJAC0010,023034,2023,03,27,21.5,1,N
IDCJAC0010,023034,2023,03,28,23.3,1,N
IDCJAC0010,023034,2023,03,29,21.4,1,N
IDCJAC0010,023034,2023,03,30,20.4,1,N
IDCJAC0010,023034,2023,03,31,20.8,1,N
IDCJAC0010,023034,2023,04,01,18.9,1,N
IDCJAC0010,023034,2023,04,02,19.8,1,N
IDCJAC0010,023034,2023,04,03,23.6,1,N
IDCJAC0010,023034,2023,04,04,27.5,1,N
IDCJAC0010,023034,2023,04,05,27.4,1,N
IDCJAC0010,023034,2023,04,06,24.8,1,N
IDCJAC0010,023034,2023,04,07,20.7,1,N
IDCJAC0010,023034,2023,04,08,19.3,1,N
IDCJAC0010,023034,2023,04,09,19.0,1,N
IDCJAC0010,023034,2023,04,10,19.3,1,N
IDCJAC0010,023034,2023,04,11,21.7,1,N
IDCJAC0010,023034,2023,04,12,20.4,1,N
IDCJAC0010,023034,2023,04,13,19.6,1,N
IDCJAC0010,023034,2023,04,14,27.2,1,N
IDCJAC0010,023034,2023,04,15,19.9,1,N
IDCJAC0010,023034,2023,04,16,18.3,1,N
IDCJAC0010,023034,2023,04,17,21.6,1,N
IDCJAC0010,023034,2023,04,18,22.6,1,N
IDCJAC0010,023034,2023,04,19,18.7,1,N
IDCJAC0010,023034,2023,04,20,18.5,1,N
IDCJAC0010,023034,2023,04,21,19.5,1,N
IDCJAC0010,023034,2023,04,22,21.6,1,N
IDCJAC0010,023034,2023,04,23,22.9,1,N
IDCJAC0010,023034,2023,04,24,27.4,1,N
IDCJAC0010,023034,2023,04,25,27.8,1,N
IDCJAC0010,023034,2023,04,26,29.7,1,N
IDCJAC0010,023034,2023,04,27,22.2,1,N
IDCJAC0010,023034,2023,04,28,18.5,1,N
IDCJAC0010,023034,2023,04,29,16.8,1,N
IDCJAC0010,023034,2023,04,30,17.9,1,N
IDCJAC0010,023034,2023,05,01,18.5,1,N
IDCJAC0010,023034,2023,05,02,18.9,1,N
IDCJAC0010,023034,2023,05,03,17.6,1,N
IDCJAC0010,023034,2023,05,04,16.8,1,N
IDCJAC0010,023034,2023,05,05,16.6,1,N
IDCJAC0010,023034,2023,05,06,15.2,1,N
IDCJAC0010,023034,2023,05,07,15.9,1,N
IDCJAC0010,023034,2023,05,08,15.0,1,N
IDCJAC0010,023034,2023,05,09,16.6,1,N
IDCJAC0010,023034,2023,05,10,16.8,1,N
IDCJAC0010,023034,2023,05,11,19.6,1,N
IDCJAC0010,023034,2023,05,12,19.5,1,N
IDCJAC0010,023034,2023,05,13,19.8,1,N
IDCJAC0010,023034,2023,05,14,23.8,1,N
IDCJAC0010,023034,2023,05,15,21.8,1,N
IDCJAC0010,023034,2023,05,16,17.1,1,N
IDCJAC0010,023034,2023,05,17,15.8,1,N
IDCJAC0010,023034,2023,05,18,15.8,1,N
IDCJAC0010,023034,2023,05,19,17.0,1,N
IDCJAC0010,023034,2023,05,20,17.0,1,N
IDCJAC0010,023034,2023,05,21,16.9,1,N
IDCJAC0010,023034,2023,05,22,16.1,1,N
IDCJAC0010,023034,2023,05,23,16.5,1,N
IDCJAC0010,023034,2023,05,24,19.2,1,N
IDCJAC0010,023034,2023,05,25,15.8,1,N
IDCJAC0010,023034,2023,05,26,15.5,1,N
IDCJAC0010,023034,2023,05,27,16.2,1,N
IDCJAC0010,023034,2023,05,28,18.1,1,N
IDCJAC0010,023034,2023,05,29,17.6,1,N
IDCJAC0010,023034,2023,05,30,17.6,1,N
IDCJAC0010,023034,2023,05,31,19.4,1,N
IDCJAC0010,023034,2023,06,01,18.6,1,N
IDCJAC0010,023034,2023,06,02,20.3,1,N
IDCJAC0010,023034,2023,06,03,25.3,1,N
IDCJAC0010,023034,2023,06,04,22.2,1,N
IDCJAC0010,023034,2023,06,05,19.3,1,N
IDCJAC0010,023034,2023,06,06,23.7,1,N
IDCJAC0010,023034,2023,06,07,21.8,1,N
IDCJAC0010,023034,2023,06,08,17.1,1,N
IDCJAC0010,023034,2023,06,09,16.3,1,N
IDCJAC0010,023034,2023,06,10,16.5,1,N
IDCJAC0010,023034,2023,06,11,18.1,1,N
IDCJAC0010,023034,2023,06,12,19.1,1,N
IDCJAC0010,023034,2023,06,13,15.9,1,N
IDCJAC0010,023034,2023,06,14,14.9,1,N
IDCJAC0010,023034,2023,06,15,17.1,1,N
IDCJAC0010,023034,2023,06,16,18.3,1,N
IDCJAC0010,023034,2023,06,17,14.8,1,N
IDCJAC0010,023034,2023,06,18,15.5,1,N
IDCJAC0010,023034,2023,06,19,13.8,1,N
IDCJAC0010,023034,2023,06,20,14.9,1,N
IDCJAC0010,023034,2023,06,21,14.2,1,N
IDCJAC0010,023034,2023,06,22,13.6,1,N
IDCJAC0010,023034,2023,06,23,14.9,1,N
IDCJAC0010,023034,2023,06,24,13.9,1,N
IDCJAC0010,023034,2023,06,25,14.9,1,N
